1 input_north_south_trajectories.asc ' RR3X_h2 ' Apr  4 2025 17:29:31
  0  0 59
time            event_time      FSPV1           FSPV2           FSPV3           
pdynmc          mach            lonx            latx            alt             
dvbe            psivgx          thtvgx          SBEG1           SBEG2           
SBEG3           VBEG1           VBEG2           VBEG3           mprop           
phi             mass            cin             spi             thrust          
fmassr          thrst_req       cl              cd              cl_ov_cd        
cla             cn              ca              psivgcx         thtvgcx         
anx             avx             alphax          phimvx          phicx           
phix            qq              tip             ancomx          alcomx          
alx             altd            altcom          wp_sltrange     wp_grdrange     
rad_min         range_go        STBG1           STBG2           STBG3           
time_go         psisbx          thtsbx          mtargeting      
0               -0.00818017     24000           999999          710079          
114626          0               0               0               0               
0               0               0               0               
55              55              -0.000705142    1.04215         -9.03419        
71974.8         5.94636         -119.543        34.6791         24011.9         
1751.96         92.7817         -5.42928e-05    -2332.56        96992.2         
-11.8911        -85.0237        1749.89         0.00166013      2               
0.627932        1949.19         0.881727        1240.13         6881.64         
597.188         7066.79         0.021144        0.00817404      2.58673         
0.0103545       0.0210509       0.00841091      0               0               
0.933038        0               -0.643307       6.58011         6.57527         
6.58011         -0.00167688     6.74325         0.932992        0               
0               -0.00166013     24000           999999          701436          
114625          0               0               0               0               
0               0               0               0               
60              60              0.000493434     1.03797         -9.03349        
71975.2         5.94638         -119.448        34.6751         24011.9         
1751.96         93.0324         2.35419e-05     -2776.82        105741          
-11.8903        -92.6789        1749.51         -0.000719853    2               
0.628034        1946.36         0.881564        1240.17         6881.71         
594.358         7065.22         0.0211111       0.00817131      2.58357         
0.0103534       0.0210176       0.00840904      0               0               
0.932919        0               -0.646679       6.55443         6.5495          
6.55443         -0.00168753     6.73411         0.932875        0               
0               0.000719853     24000           999999          692789          
114626          0               0               0               0               
0               0               0               0               
65              65              0.000663668     1.03375         -9.03327        
71975.7         5.9464          -119.352        34.6708         24011.9         
1751.97         93.2823         2.16266e-05     -3259.31        114487          
-11.8943        -100.311        1749.09         -0.00066129     2               
0.627959        1943.53         0.881408        1240.2          6879.87         
591.53          7063.7          0.0210793       0.00816866      2.5805          
0.0103524       0.0209852       0.00840724      0               0               
0.932847        0               -0.649941       6.52815         6.52311         
6.52815         -0.00169793     6.72502         0.932803        0               
0               0.00066129      24000           999999          684139          
114627          0               0               0               0               
0               0               0               0               
70              70              0.000566772     1.02947         -9.03332        
71976.4         5.94643         -119.257        34.6661         24011.9         
1751.98         93.5316         4.55901e-06     -3779.89        123232          
-11.8963        -107.919        1748.65         -0.000139404    2               
0.627839        1940.7          0.881255        1240.23         6877.57         
588.702         7062.21         0.021048        0.00816607      2.57749         
0.0103513       0.0209535       0.00840546      0               0               
0.932801        0               -0.653141       6.50134         6.4962          
6.50134         -0.00170843     6.71592         0.932757        0               
0               0.000139404     24000           999999          675486          
114628          0               0               0               0               
0               0               0               0               
75              75              0.00045272      1.02514         -9.03342        
71977           5.94646         -119.162        34.6611         24011.9         
1751.98         93.7801         -4.18998e-06    -4338.45        131974          
-11.8962        -115.503        1748.17         0.000128121     2               
0.627717        1937.87         0.881103        1240.26         6875.24         
585.875         7060.73         0.0210168       0.00816349      2.57448         
0.0103502       0.0209219       0.00840369      0               0               
0.93276         0               -0.656331       6.47414         6.46894         
6.47414         -0.00171905     6.70682         0.932716        0               
0               -0.000128121    24000           999999          666829          
114629          0               0               0               0               
0               0               0               0               
80              80              0.000372077     1.02076         -9.03349        
71977.7         5.94648         -119.067        34.6558         24011.9         
1751.99         94.0278         -5.46289e-06    -4934.87        140713          
-11.8954        -123.061        1747.66         0.000167045     2               
0.6276          1935.05         0.88095         1240.29         6872.98         
583.049         7059.24         0.0209855       0.00816092      2.57147         
0.0103492       0.0208902       0.00840192      0               0               
0.932716        0               -0.659528       6.44662         6.44136         
6.44662         -0.00172972     6.69772         0.932671        0               
0               -0.000167045    24000           999999          658170          
114630          0               0               0               0               
0               0               0               0               
85              85              0.000310956     1.01632         -9.03354        
71978.3         5.94651         -118.971        34.6501         24011.9         
1752            94.2748         -4.52283e-06    -5569.03        149450          
-11.8946        -130.595        1747.13         0.0001383       2               
0.627487        1932.22         0.880797        1240.33         6870.75         
580.224         7057.75         0.0209542       0.00815833      2.56844         
0.0103481       0.0208585       0.00840015      0               0               
0.932669        0               -0.66273        6.41877         6.41345         
6.41877         -0.00174042     6.68862         0.932624        0               
0               -0.0001383      24000           999999          649507          
114631          0               0               0               0               
0               0               0               0               
90              90              0.000253186     1.01182         -9.03358        
71978.9         5.94654         -118.876        34.6441         24011.9         
1752.01         94.5211         -3.95925e-06    -6240.78        158184          
-11.894         -138.103        1746.56         0.000121067     2               
0.627375        1929.4          0.880644        1240.36         6868.53         
577.401         7056.26         0.0209229       0.00815576      2.56542         
0.010347        0.0208267       0.00839837      0               0               
0.932621        0               -0.665931       6.39058         6.38519         
6.39058         -0.00175114     6.67953         0.932576        0               
0               -0.000121067    24000           999999          640841          
114632          0               0               0               0               
0               0               0               0               
95              95              0.000193313     1.00727         -9.03362        
71979.6         5.94656         -118.781        34.6377         24011.9         
1752.02         94.7665         -4.0472e-06     -6950.01        166916          
-11.8933        -145.585        1745.96         0.000123757     2               
0.627263        1926.58         0.880491        1240.39         6866.32         
574.578         7054.77         0.0208916       0.00815319      2.56239         
0.010346        0.020795        0.0083966       0               0               
0.932573        0               -0.669132       6.36203         6.35657         
6.36203         -0.00176188     6.67043         0.932528        0               
0               -0.000123757    24000           999999          632172          
114633          0               0               0               0               
0               0               0               0               
100             100             0.000131826     1.00266         -9.03367        
71980.2         5.94659         -118.686        34.631          24011.9         
1752.02         95.0112         -4.39722e-06    -7696.59        175644          
-11.8927        -153.04         1745.33         0.000134461     2               
0.627151        1923.76         0.880338        1240.42         6864.1          
571.756         7053.28         0.0208604       0.00815062      2.55936         
0.0103449       0.0207633       0.00839482      0               0               
0.932525        0               -0.672331       6.3331          6.32757         
6.3331          -0.00177265     6.66134         0.93248         0               
0               -0.000134461    24000           999999          623501          
114634          0               0               0               0               
0               0               0               0               
105             4.9             0.000696468     0.997985        -9.03372        
71981           5.94662         -118.591        34.624          24011.9         
1752.03         95.2551         -5.04714e-06    -8480.37        184369          
-11.892         -160.469        1744.67         0.000154335     3               
0.62715         1920.93         0.880185        1240.45         6863.1          
568.935         0               0.0208291       0.00814805      2.55632         
0.0103438       0.0207315       0.00839305      0               0               
0.932478        0               -0.675528       6.30379         6.29819         
6.30379         -0.00178344     6.65224         0.932432        0               
0               -0.000154335    24000           999999          614826          
114635          0               0               0               0               
0               0               0               0               
110             9.9             0.00125938      0.993254        -9.03378        
71982.1         5.94666         -118.496        34.6167         24011.9         
1752.05         95.4982         -5.57293e-06    -9301.23        193091          
-11.8912        -167.87         1743.98         0.000170414     3               
0.62715         1918.11         0.880034        1240.48         6862.13         
566.114         0               0.0207977       0.00814549      2.55328         
