1 input_north_south_trajectories.asc  Apr  4 2025 17:29:30
  0  0 59
time            event_time      FSPV1           FSPV2           FSPV3           
pdynmc          mach            lonx            latx            alt             
dvbe            psivgx          thtvgx          SBEG1           SBEG2           
SBEG3           VBEG1           VBEG2           VBEG3           mprop           
phi             mass            cin             spi             thrust          
fmassr          thrst_req       cl              cd              cl_ov_cd        
cla             cn              ca              psivgcx         thtvgcx         
anx             avx             alphax          phimvx          phicx           
phix            qq              tip             ancomx          alcomx          
alx             altd            altcom          wp_sltrange     wp_grdrange     
rad_min         range_go        STBG1           STBG2           STBG3           
time_go         psisbx          thtsbx          mtargeting      
-14.7912        -0.00151634     6.73987         0.958701        0               
0               -0.00684283     24000           999999          778127          
114614          0               0               0               0               
0               0               0               0               
55              55              0.00126924      -2.38865        -9.03434        
71967.5         5.94606         -119.543        34.7245         24011.9         
1751.87         86.6759         -4.16877e-05    2736.64         96966.4         
-11.8842        101.58          1748.92         0.00127464      2               
0.630244        1949.01         0.884545        1239.52         6925.31         
597.011         7094.09         0.0217168       0.00822226      2.64122         
0.0103731       0.0216317       0.0084434       0               0               
0.95877         0               -0.584615       -14.8102        -14.8139        
-14.8102        -0.00152705     6.73049         0.958727        0               
0               -0.00127464     24000           999999          769836          
114613          0               0               0               0               
0               0               0               0               
60              60              0.00211938      -2.39183        -9.03379        
71967.9         5.94607         -119.448        34.7293         24011.9         
1751.87         86.3657         1.84364e-05     3268.2          105710          
-11.8838        111.047         1748.35         -0.00056371     2               
0.630287        1946.16         0.884395        1239.56         6924.8          
594.163         7092.63         0.0216861       0.00821965      2.63833         
0.0103721       0.0216007       0.00844166      0               0               
0.958799        0               -0.587755       -14.8299        -14.8336        
-14.8299        -0.00153692     6.72128         0.958759        0               
0               0.00056371      24000           999999          761535          
114614          0               0               0               0               
0               0               0               0               
65              65              0.00231387      -2.39507        -9.03368        
71968.4         5.9461          -119.352        34.7345         24011.9         
1751.88         86.055          1.23877e-05     3847.13         114450          
-11.8865        120.526         1747.73         -0.000378768    2               
0.630219        1943.31         0.884249        1239.59         6923.1          
591.315         7091.21         0.0216564       0.00821713      2.63552         
0.010371        0.0215706       0.00843998      0               0               
0.958873        0               -0.590791       -14.8492        -14.8528        
-14.8492        -0.00154662     6.71208         0.958833        0               
0               0.000378768     24000           999999          753226          
114615          0               0               0               0               
0               0               0               0               
70              70              0.00234609      -2.39834        -9.0338         
71968.9         5.94612         -119.257        34.7401         24011.9         
1751.89         85.7438         -3.76534e-06    4473.49         123187          
-11.8871        130.019         1747.05         0.00011513      2               
0.630124        1940.47         0.884107        1239.62         6921.13         
588.468         7089.83         0.0216273       0.00821465      2.63277         
0.0103701       0.021541        0.00843832      0               0               
0.958971        0               -0.593775       -14.8684        -14.8721        
-14.8684        -0.0015564      6.70289         0.95893         0               
0               -0.00011513     24000           999999          744907          
114616          0               0               0               0               
0               0               0               0               
75              75              0.00238674      -2.40165        -9.03396        
71969.5         5.94614         -119.162        34.7461         24011.9         
1751.89         85.432          -1.1577e-05     5147.34         131920          
-11.8858        139.525         1746.33         0.000353983     2               
0.63003         1937.62         0.883964        1239.65         6919.19         
585.621         7088.44         0.0215982       0.00821219      2.63002         
0.0103691       0.0215115       0.00843668      0               0               
0.959073        0               -0.596749       -14.8878        -14.8915        
-14.8878        -0.00156628     6.69368         0.959032        0               
0               -0.000353983    24000           999999          736580          
114617          0               0               0               0               
0               0               0               0               
80              80              0.00246106      -2.40501        -9.03409        
71970           5.94616         -119.067        34.7526         24011.9         
1751.9          85.1197         -1.29083e-05    5868.76         140650          
-11.8839        149.043         1745.55         0.000394691     2               
0.629943        1934.78         0.883822        1239.68         6917.31         
582.776         7087.05         0.0215691       0.00820972      2.62727         
0.0103681       0.021482        0.00843503      0               0               
0.959175        0               -0.599724       -14.9075        -14.9112        
-14.9075        -0.0015762      6.68447         0.959133        0               
0               -0.000394691    24000           999999          728243          
114617          0               0               0               0               
0               0               0               0               
85              85              0.00255103      -2.40842        -9.03421        
71970.6         5.94619         -118.972        34.7595         24011.9         
1751.9          84.8068         -1.25598e-05    6637.79         149376          
-11.882         158.574         1744.71         0.000384035     2               
0.629859        1931.93         0.883679        1239.71         6915.46         
579.931         7085.67         0.0215401       0.00820727      2.62451         
